neg_word,neg_freq,neg_total
deterioration,2,39.0
decline,5,
risks,1,
concerned,1,
loss,1,
falling,1,
imbalance,1,
undermined,1,
fell,1,
suffered,1,
negative,1,
break,1,
dispute,1,
touted,1,
oversight,1,
harmed,1,
cumbersome,1,
frustrate,1,
limited,2,
harassment,1,
suicide,1,
weaken,1,
scrap,1,
contradict,1,
conservative,1,
falls,1,
criticism,1,
failing,1,
rival,1,
radical,1,
inculcate,1,
threaten,1,
undermine,1,
