neg_word,neg_freq,neg_total
slowly,1,28.0
issues,2,
inequality,1,
debt,1,
gross,2,
split,1,
fallen,1,
slow,1,
poverty,1,
lack,1,
decline,2,
suffered,1,
poor,2,
drought,1,
losses,1,
expensive,1,
devastating,1,
lagged,2,
rail,1,
insufficient,1,
irregular,1,
threat,1,
less-developed,1,
