neg_word,neg_freq,neg_total
unlikely,1,28.0
complain,1,
strict,1,
roadblocks,1,
woefully,1,
refusing,1,
unpredictable,1,
inevitably,1,
losses,1,
concerns,1,
severe,2,
warning,2,
danger,1,
slow,1,
break,1,
risk,1,
concern,1,
discontent,1,
lost,1,
worry,1,
warned,1,
falling,1,
hard,1,
dilemma,1,
weaken,1,
issues,1,
