pos_word,pos_freq,pos_total
life,1,34.0
won,1,
food,1,
animated,1,
allow,1,
kind,1,
stability,1,
community,1,
growth,8,
order,1,
well,2,
experience,2,
extraordinary,1,
create,1,
major,1,
future,1,
young,1,
healthy,1,
moving,1,
time,1,
meaningful,1,
real,1,
easy,1,
confidence,1,
will,1,
