neg_word,neg_freq,neg_total
displaced,1,32.0
slower,1,
concerns,2,
setback,1,
doubt,2,
recession,1,
inequality,1,
fell,1,
loss,1,
critics,1,
fall,1,
infections,1,
adverse,1,
slowed,1,
imposition,1,
sad,1,
decline,1,
limitations,1,
isolation,1,
inability,1,
crazy,1,
unsure,1,
lack,1,
stress,1,
concern,1,
pervasive,1,
critical,1,
collapse,1,
volatile,1,
uncertain,1,
